epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,973.273,0.99086,4.31552,1.29577,0.71661,0.02424,0.0498,0.03953,0.81279,4.76843,1.26594,0.00052362,0.00017454,0.00052362,0.00017454,0.00052362,0.00017454,0.00052362,0.00017454
2,1864.65,0.79724,3.93488,1.15972,0.18895,0.33405,0.11899,0.09954,0.78108,4.24754,1.13601,0.000841795,0.000280598,0.000841795,0.000280598,0.000841795,0.000280598,0.000841795,0.000280598
3,2762.26,0.75773,3.52617,1.10359,0.14875,0.388,0.17779,0.14459,0.73969,3.83468,1.09445,0.000951674,0.000317225,0.000951674,0.000317225,0.000951674,0.000317225,0.000951674,0.000317225
4,3649.2,0.73708,3.22345,1.08154,0.19863,0.38098,0.25341,0.20638,0.70309,3.53768,1.06105,0.000640668,0.000213556,0.000640668,0.000213556,0.000640668,0.000213556,0.000640668,0.000213556
5,4511.55,0.70591,3.00328,1.0608,0.25045,0.40483,0.27956,0.23213,0.67997,3.38482,1.04422,0.000328224,0.000109408,0.000328224,0.000109408,0.000328224,0.000109408,0.000328224,0.000109408
